"Facility Name","Facility ID","NPI","City","State","ZIP Code","Year","ASC-9 Rate","ASC-9 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote","ASC-17 Total Cases","ASC-17 Performance Category","ASC-17 RSHV Rate","ASC-17 Interval Lower Limit","ASC-17 Interval Upper Limit","ASC-17 Footnote","ASC-18 Total Cases","ASC-18 Performance Category","ASC-18 RSHV Rate","ASC-18 Interval Lower Limit","ASC-18 Interval Upper Limit","ASC-18 Footnote"
MEDPLEX OUTPATIENT SURGERY CENTER LTD,01C0001020,1750499950,BIRMINGHAM,AL,35244,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,279,No Different than the National Rate,2,1.5,2.7,,N/A,N/A,N/A,N/A,N/A,5
SPRINGHILL SURGERY CENTER,01C0001021,1700884608,MOBILE,AL,36608,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0.69,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
FLORENCE SURGERY CENTER LP,01C0001022,1972568830,FLORENCE,AL,35630,2020,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,100,,0.06,,372,No Different than the National Rate,2.4,1.8,3.3,,N/A,N/A,N/A,N/A,N/A,5
FLORENCE SURGERY CENTER LP,01C0001022,1972568830,FLORENCE,AL,35630,2019,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,0,,0,,,,,,,,,,,,,
GASTROENTEROLOGY CONSULTANTS OF TUSCALOOSA INC,01C0001024,1275725673,TUSCALOOSA,AL,35406,2020,N/A,5,N/A,5,321,No Different than the National Rate,9.7,7.1,13.1,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GASTROENTEROLOGY CONSULTANTS OF TUSCALOOSA INC,01C0001024,1275725673,TUSCALOOSA,AL,35406,2019,N/A,5,N/A,5,396,No Different Than the National Rate,12.8,9.3,17.4,,N/A,5,N/A,5,,,,,,,,,,,,
HUNTSVILLE ENDOSCOPY CENTER,01C0001025,1235178005,HUNTSVILLE,AL,35801,2020,73.83,,N/A,5,760,No Different than the National Rate,11.1,8.3,15.2,,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
HUNTSVILLE ENDOSCOPY CENTER,01C0001025,1235178005,HUNTSVILLE,AL,35801,2019,54.19,,N/A,5,884,No Different Than the National Rate,14,10.5,19,,N/A,5,N/A,5,,,,,,,,,,,,
MONTGOMERY EYE SURGERY CENTER LLC,01C0001026,1457331274,MONTGOMERY,AL,36106,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BIRMINGHAM SURGERY CENTER,01C0001027,1790756237,BIRMINGHAM,AL,35209,2020,100,,N/A,5,1114,No Different than the National Rate,9.7,7.3,12.9,,99.84,,0.14,,325,No Different than the National Rate,2,1.4,2.6,,N/A,N/A,N/A,N/A,N/A,5
BIRMINGHAM SURGERY CENTER,01C0001027,1790756237,BIRMINGHAM,AL,35209,2019,100,,N/A,5,1335,No Different Than the National Rate,13.2,10.1,17.2,,100,,0.12,,,,,,,,,,,,,
NORTH RIVER SURGICAL CENTER LLC,01C0001029,1215926993,TUSCALOOSA,AL,35406,2020,98.93,,N/A,5,1732,No Different than the National Rate,10.3,7.8,13.2,,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
NORTH RIVER SURGICAL CENTER LLC,01C0001029,1215926993,TUSCALOOSA,AL,35406,2019,98.83,,N/A,5,2148,No Different Than the National Rate,12.9,10.1,16.6,,N/A,5,N/A,5,,,,,,,,,,,,
THE SURGERY CENTER LLC,01C0001035,1356321293,OXFORD,AL,36203,2020,92.45,,N/A,5,722,No Different than the National Rate,10.5,7.8,14,,99.78,,0.76,,231,No Different than the National Rate,2.2,1.7,3.1,,110,No Different than the National Rate,5.7,4,8.3,
THE SURGERY CENTER LLC,01C0001035,1356321293,OXFORD,AL,36203,2019,100,,N/A,5,887,No Different Than the National Rate,13.5,10.2,17.8,,100,,0.49,,,,,,,,,,,,,
SOUTH ALABAMA OUTPATIENT SERVICES,01C0001037,1013924133,ENTERPRISE,AL,36330,2020,89.47,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,100,,0,,110,No Different than the National Rate,2.3,1.7,3.1,,N/A,N/A,N/A,N/A,N/A,5
SOUTH ALABAMA OUTPATIENT SERVICES,01C0001037,1013924133,ENTERPRISE,AL,36330,2019,88.57,,N/A,5,65,No Different Than the National Rate,11.7,8.4,16.2,,100,,0,,,,,,,,,,,,,
DOTHAN SURGERY CENTER LLC,01C0001039,1003815242,DOTHAN,AL,36301,2020,96.88,,N/A,5,3463,No Different than the National Rate,11.8,9.5,14.6,,100,,0,,275,No Different than the National Rate,2.2,1.6,2.9,,N/A,N/A,N/A,N/A,N/A,5
DOTHAN SURGERY CENTER LLC,01C0001039,1003815242,DOTHAN,AL,36301,2019,97.92,,N/A,5,4468,No Different Than the National Rate,13.8,11.5,16.6,,100,,0.15,,,,,,,,,,,,,
NORTHEAST ALABAMA EYE SURGERY CENTER,01C0001040,1306877261,GADSDEN,AL,35901,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.49,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
VISION CORRECTION CENTER,01C0001041,1689735250,TUSCALOOSA,AL,35406,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.08,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GULF COAST SURGICAL PARTNERS LLC,01C0001042,1740288679,MOBILE,AL,36608,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,0,,N/A,5,264,No Different than the National Rate,2.1,1.6,2.8,,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF DECATUR LP,01C0001043,1962513788,DECATUR,AL,35601,2020,70.42,,N/A,5,801,No Different than the National Rate,9.1,6.7,12.1,,0.29,,N/A,5,165,No Different than the National Rate,2.3,1.7,3.1,,30,No Different than the National Rate,5.5,3.5,8.3,
SURGERY CENTER OF DECATUR LP,01C0001043,1962513788,DECATUR,AL,35601,2019,N/A,5,N/A,5,1041,No Different Than the National Rate,11.7,8.8,15.4,,N/A,5,N/A,5,,,,,,,,,,,,
MADISON SURGERY CENTER LLC,01C0001044,1356369755,MADISON,AL,35758,2020,40.73,,N/A,1,1799,No Different than the National Rate,9.8,7.6,12.9,,89.61,,N/A,5,142,No Different than the National Rate,2.1,1.6,2.9,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
MADISON SURGERY CENTER LLC,01C0001044,1356369755,MADISON,AL,35758,2019,44.44,,N/A,5,2208,No Different Than the National Rate,12,9.4,15.2,,82.91,,N/A,5,,,,,,,,,,,,
BAY EYES SURGERY CENTER,01C0001045,1881618403,FAIRHOPE,AL,36532,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.32,,,,,,,,,,,,,
SHELBY BAPTIST AMBULATORY SURGERY CENTER LLC,01C0001046,1538117841,ALABASTER,AL,35007,2020,45.68,,N/A,5,1042,No Different than the National Rate,8.7,6.5,11.4,,100,,0,,51,No Different than the National Rate,2.2,1.5,3,,85,No Different than the National Rate,5.9,4.1,8.6,
SHELBY BAPTIST AMBULATORY SURGERY CENTER LLC,01C0001046,1538117841,ALABASTER,AL,35007,2019,N/A,5,N/A,5,1375,No Different Than the National Rate,9.6,7.3,12.8,,N/A,5,N/A,5,,,,,,,,,,,,
SURGERY CENTER OF CULLMAN LLC,01C0001048,1669481255,CULLMAN,AL,35055,2020,24.62,,N/A,5,877,No Different than the National Rate,10.8,8.2,14.4,,100,,0.16,,81,No Different than the National Rate,2.1,1.5,3,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
SURGERY CENTER OF CULLMAN LLC,01C0001048,1669481255,CULLMAN,AL,35055,2019,14.71,,N/A,5,1073,No Different Than the National Rate,12.2,9.2,16,,98.92,,0,,,,,,,,,,,,,
EYE SURGERY CENTER OF NORTH ALABAMA INC,01C0001050,1265657258,HUNTSVILLE,AL,35801,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.05,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
EYE SURGERY CENTER OF NORTH ALABAMA INC,01C0001050,1265657258,HUNTSVILLE,AL,35801,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.02,,,,,,,,,,,,,
ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,01C0001051,1588854772,BIRMINGHAM,AL,35209,2020,68.15,,N/A,5,1836,No Different than the National Rate,10.8,8.3,13.8,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,01C0001051,1588854772,BIRMINGHAM,AL,35209,2019,N/A,5,N/A,5,2187,No Different Than the National Rate,13.7,10.8,17.5,,N/A,5,N/A,5,,,,,,,,,,,,
JACKSON SURGERY CENTER LLC,01C0001053,1336375930,MONTGOMERY,AL,36106,2020,57.53,,N/A,5,1416,No Different than the National Rate,9.4,7.2,12.4,,98.62,,N/A,5,147,No Different than the National Rate,2.1,1.6,2.9,,76,No Different than the National Rate,5.5,3.8,8.1,
JACKSON SURGERY CENTER LLC,01C0001053,1336375930,MONTGOMERY,AL,36106,2019,N/A,5,N/A,5,1789,No Different Than the National Rate,11.6,9,14.9,,N/A,5,N/A,5,,,,,,,,,,,,
GARDENDALE SURGERY CENTER,01C0001054,1730318353,GARDENDALE,AL,35071,2020,95.45,,N/A,5,510,No Different than the National Rate,9.8,7.2,13.2,,86.3,,0.52,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
GARDENDALE SURGERY CENTER,01C0001054,1730318353,GARDENDALE,AL,35071,2019,N/A,5,N/A,5,642,No Different Than the National Rate,11.3,8.3,15.2,,N/A,5,N/A,5,,,,,,,,,,,,
ST VINCENTS OUTPATIENT SURGERY SERVICES LLC,01C0001055,1972805299,BIRMINGHAM,AL,35205,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0,,70,No Different than the National Rate,2.1,1.5,2.9,,38,No Different than the National Rate,5,3.2,7.2,
ST VINCENTS OUTPATIENT SURGERY SERVICES LLC,01C0001055,1972805299,BIRMINGHAM,AL,35205,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0,,,,,,,,,,,,,
AFFINITY GASTROENTEROLOGY ASC LLC,01C0001061,1225698681,BIRMINGHAM,AL,35243,2020,100,,N/A,5,187,No Different than the National Rate,10.2,7.4,14,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ANCHORAGE SURGICENTER LLC,02C0001000,1144612714,ANCHORAGE,AK,99508,2020,92.06,,N/A,5,341,No Different than the National Rate,10.4,7.7,14.1,,100,,N/A,5,36,No Different than the National Rate,2.1,1.5,2.9,,77,No Different than the National Rate,5.3,3.7,7.8,
ANCHORAGE SURGICENTER LLC,02C0001000,1144612714,ANCHORAGE,AK,99508,2019,73.96,,N/A,5,361,No Different Than the National Rate,13.1,9.5,18,,100,,N/A,5,,,,,,,,,,,,
ASLASKA SURGERY CENTER,02C0001001,1205892197,ANCHORAGE,AK,99508,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0,,94,No Different than the National Rate,2.2,1.6,3.1,,30,No Different than the National Rate,5.7,3.8,8.5,
ASLASKA SURGERY CENTER,02C0001001,1205892197,ANCHORAGE,AK,99508,2019,N/A,5,100,,N/A,N/A,N/A,N/A,N/A,5,100,,0,,,,,,,,,,,,,
GENEVA WOODS SURGICAL CENTER INC,02C0001002,1699875450,ANCHORAGE,AK,99508,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.99,,0,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
GENEVA WOODS SURGICAL CENTER INC,02C0001002,1699875450,ANCHORAGE,AK,99508,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.96,,0.42,,,,,,,,,,,,,
PACIFIC CATARACT AND LASER INSTITUTE INC,02C0001004,1548213077,ANCHORAGE,AK,99501,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.72,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PACIFIC CATARACT AND LASER INSTITUTE INC,02C0001004,1548213077,ANCHORAGE,AK,99501,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.81,,,,,,,,,,,,,
ANCHORAGE ENDOSCOPY CENTER LLC,02C0001005,1770605214,ANCHORAGE,AK,99508,2020,98.41,,N/A,5,1006,No Different than the National Rate,10.5,7.9,13.8,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ANCHORAGE ENDOSCOPY CENTER LLC,02C0001005,1770605214,ANCHORAGE,AK,99508,2019,100,,N/A,5,1198,No Different Than the National Rate,12,9,16.2,,N/A,5,N/A,5,,,,,,,,,,,,
ALASKA SPINE CENTER,02C0001006,1093710717,ANCHORAGE,AK,99508,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,1,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ALASKA SPINE CENTER,02C0001006,1093710717,ANCHORAGE,AK,99508,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
ALASKA DIGESTIVE CENTER,02C0001007,1508835299,ANCHORAGE,AK,99508,2020,98,,N/A,5,1841,No Different than the National Rate,9.5,7.2,12.4,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ALASKA DIGESTIVE CENTER,02C0001007,1508835299,ANCHORAGE,AK,99508,2019,95.56,,N/A,5,2239,No Different Than the National Rate,11.5,8.9,14.6,,N/A,5,N/A,5,,,,,,,,,,,,
ALPINE SURGICENTER LLC DBA ALPINE SURGERY CENTER,02C0001008,1184195877,ANCHORAGE,AK,99508,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.25,,N/A,5,,,,,,,,,,,,
SOUTHEAST ALASKA SURGERY CENTER,02C0001010,1821327560,JUNEAU,AK,99801,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SOUTHEAST ALASKA SURGERY CENTER,02C0001010,1821327560,JUNEAU,AK,99801,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
PROVIDENCE SURGERY CENTERS LLC,02C0001011,1710207998,ANCHORAGE,AK,99508,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,287,No Different than the National Rate,2.3,1.7,3.2,,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF FAIRBANKS LLC,02C0001012,1255652285,FAIRBANKS,AK,99709,2020,92.99,,N/A,5,193,No Different than the National Rate,10.3,7.5,13.9,,100,,N/A,5,107,No Different than the National Rate,2.4,1.7,3.3,,120,No Different than the National Rate,6.1,4.2,8.7,
SURGERY CENTER OF FAIRBANKS LLC,02C0001012,1255652285,FAIRBANKS,AK,99709,2019,N/A,5,N/A,5,205,No Different Than the National Rate,12.7,9.2,17.3,,N/A,5,N/A,5,,,,,,,,,,,,
SURGERY CENTER OF WASILLA LLC,02C0001015,1649534843,WASILLA,AK,99654,2020,96.39,,N/A,5,260,No Different than the National Rate,11.2,8.3,15.5,,96.41,,0,,190,No Different than the National Rate,2.2,1.6,3.1,,38,No Different than the National Rate,6.1,4.1,9.1,
SURGERY CENTER OF WASILLA LLC,02C0001015,1649534843,WASILLA,AK,99654,2019,86.96,,N/A,5,276,No Different Than the National Rate,13,9.5,18,,97.34,,0,,,,,,,,,,,,,
SUSITNA SURGERY CENTER LLC,02C0001018,1073009304,PALMER,AK,99645,2020,91.55,,N/A,5,180,No Different than the National Rate,10.6,7.7,14.5,,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,45,No Different than the National Rate,5.4,3.6,8,
SUSITNA SURGERY CENTER LLC,02C0001018,1073009304,PALMER,AK,99645,2019,78.38,,N/A,5,96,No Different Than the National Rate,12.7,9.2,17.9,,100,,N/A,5,,,,,,,,,,,,
BANNER PHOENIX SURGERY CENTER LLC,03C0001001,1770008922,PHOENIX,AZ,85006,2020,53.79,,N/A,5,383,No Different than the National Rate,9.6,7.1,13.1,,100,,0.49,,87,No Different than the National Rate,2.3,1.7,3.2,,N/A,N/A,N/A,N/A,N/A,5
BANNER PHOENIX SURGERY CENTER LLC,03C0001001,1770008922,PHOENIX,AZ,85006,2019,N/A,5,N/A,5,371,No Different Than the National Rate,11.1,8.1,15.4,,N/A,5,N/A,5,,,,,,,,,,,,
VITAL SIGHT PC,03C0001013,1821124587,TUCSON,AZ,85711,2020,N/A,5,N/A,5,43,No Different than the National Rate,9.8,7.1,13.4,,N/A,5,0,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
VITAL SIGHT PC,03C0001013,1821124587,TUCSON,AZ,85711,2019,N/A,5,N/A,5,94,No Different Than the National Rate,11.6,8.3,16.2,,N/A,5,N/A,5,,,,,,,,,,,,
SURGERY CENTER OF PEORIA,03C0001016,1992706899,PEORIA,AZ,85381,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,141,No Different than the National Rate,2.2,1.6,3,,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF PEORIA,03C0001016,1992706899,PEORIA,AZ,85381,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,,,,,,,,,,,,
EYE SURGERY CENTER OF ARIZONA,03C0001020,1659343648,MESA,AZ,85206,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.31,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
EYE SURGERY CENTER OF ARIZONA,03C0001020,1659343648,MESA,AZ,85206,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.56,,,,,,,,,,,,,
EYE INSTITUTE AT BOSWELL DBA SUN CITY EYE,03C0001021,1578535233,SUN CITY,AZ,85351,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.2,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
BARNET DULANEY PERKINS EYE CENTER PLLC,03C0001024,1497727093,LAKE HAVASU CITY,AZ,86403,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SOUTHWESTERN EYE CENTER LTD,03C0001036,1528000817,SUN CITY,AZ,85351,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.06,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
OUTPATIENT SURGICAL CARE LTD,03C0001041,1073579256,PHOENIX,AZ,85021,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.06,,,,,,,,,,,,,
CASA GRANDESOUTHWESTERN EYE CENTER,03C0001042,1275569121,CASA GRANDE,AZ,85122,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.13,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PRESCOTT OUTPATIENT SURGICAL CENTER,03C0001043,1083624670,PRESCOTT,AZ,86301,2020,75,,N/A,5,79,No Different than the National Rate,9.7,7.1,13.4,,100,,N/A,5,573,No Different than the National Rate,2,1.5,2.7,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
PRESCOTT OUTPATIENT SURGICAL CENTER,03C0001043,1083624670,PRESCOTT,AZ,86301,2019,16.92,,N/A,5,201,No Different Than the National Rate,11.3,8.2,15.7,,100,,N/A,5,,,,,,,,,,,,
VALLEY OUTPATIENT SURGICAL CENTER INC,03C0001044,1104894369,MESA,AZ,85201,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.79,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5
VALLEY OUTPATIENT SURGICAL CENTER INC,03C0001044,1104894369,MESA,AZ,85201,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.34,,,,,,,,,,,,,
SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GILBERT,03C0001045,1558794081,GILBERT,AZ,85234,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,32,No Different than the National Rate,2.4,1.7,3.3,,N/A,N/A,N/A,N/A,N/A,5
