"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N"
"1400000US42101000701","Census Tract 7.01, Philadelphia County, Pennsylvania","2722","2561","1960","165","7","399","1","29","161","155","25","3","30","0","85","3","1","0","4","0","0","3","0","0","1","6","0","0","0","1","0","0","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000702","Census Tract 7.02, Philadelphia County, Pennsylvania","2012","1878","1339","91","1","403","1","43","134","129","20","4","33","2","63","0","0","0","2","0","0","2","2","1","0","5","1","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","1748","1637","1405","58","6","147","0","21","111","104","14","10","19","0","57","1","1","0","1","0","0","0","1","0","0","5","1","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","4463","4218","3603","114","3","420","1","77","245","231","18","7","44","1","146","3","6","0","3","0","0","1","0","2","0","9","2","0","0","0","0","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","5","1","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000805","Census Tract 8.05, Philadelphia County, Pennsylvania","2587","2413","1947","110","2","276","0","78","174","164","24","6","43","0","80","3","0","0","0","1","0","3","1","1","2","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000806","Census Tract 8.06, Philadelphia County, Pennsylvania","2702","2506","2093","90","3","275","0","45","196","173","6","2","51","0","97","0","4","0","6","0","1","1","1","4","0","19","9","0","0","2","0","0","3","2","0","0","0","0","1","2","0","0","0","0","0","0","4","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","2409","2249","1604","314","5","268","0","58","160","146","14","12","27","0","82","6","0","0","1","0","0","1","0","3","0","14","8","0","0","3","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","2842","2708","1853","150","5","670","0","30","134","124","27","7","28","0","50","8","0","0","4","0","0","0","0","0","0","9","4","1","0","1","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","2993","2860","2560","74","6","191","0","29","133","129","23","1","39","0","59","2","0","0","5","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","4651","4409","3806","272","6","274","0","51","242","234","21","16","61","0","121","0","4","0","4","0","0","0","0","7","0","6","1","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","4297","3980","2906","613","10","339","0","112","317","305","41","14","82","0","134","14","5","0","8","0","0","3","2","2","0","12","2","0","1","4","3","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","2800","2587","2182","107","0","242","3","53","213","204","18","8","48","2","117","0","2","0","4","0","1","0","2","0","2","8","0","1","0","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","3953","3610","3189","80","4","289","0","48","343","318","39","12","93","1","166","0","1","0","3","0","0","0","0","3","0","18","2","0","0","4","0","0","7","0","3","0","0","0","1","0","1","0","0","0","0","0","7","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001203","Census Tract 12.03, Philadelphia County, Pennsylvania","1827","1699","1469","51","2","156","0","21","128","120","3","7","37","0","63","2","2","1","4","0","0","1","0","0","0","7","1","1","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001204","Census Tract 12.04, Philadelphia County, Pennsylvania","4014","3757","3157","175","0","354","2","69","257","241","28","13","53","7","112","6","11","0","11","0","0","0","0","0","0","11","6","2","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","4","1","0","2","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0"
"1400000US42101001301","Census Tract 13.01, Philadelphia County, Pennsylvania","1671","1543","1018","388","6","122","0","9","128","122","16","11","29","0","59","2","1","0","2","0","0","2","0","0","0","5","2","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001302","Census Tract 13.02, Philadelphia County, Pennsylvania","5102","4691","3504","591","0","543","0","53","411","382","35","14","130","0","181","5","2","1","12","0","0","2","0","0","0","25","0","9","1","0","5","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001400","Census Tract 14, Philadelphia County, Pennsylvania","4736","4417","3314","699","7","336","0","61","319","294","38","18","80","2","128","8","2","0","8","4","0","2","0","4","0","23","2","0","1","4","0","0","11","0","1","0","2","0","1","1","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001500","Census Tract 15, Philadelphia County, Pennsylvania","3338","3098","2277","407","0","345","0","69","240","228","29","8","70","0","92","7","8","1","4","0","0","4","2","3","0","10","2","4","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"1400000US42101001600","Census Tract 16, Philadelphia County, Pennsylvania","2665","2440","2159","93","2","136","0","50","225","207","30","14","63","0","87","2","2","0","5","4","0","0","0","0","0","13","5","2","0","3","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001700","Census Tract 17, Philadelphia County, Pennsylvania","2997","2750","2427","114","5","151","3","50","247","235","30","10","71","0","114","3","3","0","3","1","0","0","0","0","0","9","0","0","0","5","0","0","2","0","1","0","0","0","1","0","0","0","0","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001800","Census Tract 18, Philadelphia County, Pennsylvania","3476","3199","2410","467","6","250","0","66","277","259","61","5","52","0","124","11","3","0","2","1","0","0","0","0","0","14","3","5","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001900","Census Tract 19, Philadelphia County, Pennsylvania","4083","3749","2530","836","9","292","0","82","334","312","48","9","75","0","133","13","9","2","15","1","0","0","0","6","1","20","9","3","0","2","0","1","0","0","3","0","0","0","0","1","1","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101002000","Census Tract 20, Philadelphia County, Pennsylvania","2537","2409","921","1267","11","137","0","73","128","113","30","11","16","1","39","2","4","0","5","0","0","2","1","0","2","13","1","1","0","2","1","0","0","0","0","0","1","0","7","0","0","0","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101002100","Census Tract 21, Philadelphia County, Pennsylvania","2462","2306","1090","992","16","135","0","73","156","139","36","9","21","0","46","14","8","0","4","0","0","0","0","0","1","16","4","1","1","3","0","0","1","1","0","0","1","0","1","2","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101002200","Census Tract 22, Philadelphia County, Pennsylvania","2750","2530","1283","958","8","185","0","96","220","202","50","10","29","0","101","0","0","0","2","2","1","4","0","3","0","17","2","4","0","2","0","0","6","0","1","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101002300","Census Tract 23, Philadelphia County, Pennsylvania","3043","2796","2038","141","16","397","0","204","247","214","26","13","50","3","109","2","0","0","4","0","0","5","0","1","1","33","0","3","0","2","0","0","21","0","4","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101002400","Census Tract 24, Philadelphia County, Pennsylvania","5624","5179","3450","366","34","910","1","418","445","377","38","35","86","2","178","5","1","0","16","0","0","11","0","5","0","65","4","0","0","7","3","0","49","1","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"1400000US42101002500","Census Tract 25, Philadelphia County, Pennsylvania","4393","4083","2360","1087","10","406","4","216","310","290","44","36","47","0","117","10","8","2","21","0","0","0","0","5","0","20","7","0","0","5","0","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101002701","Census Tract 27.01, Philadelphia County, Pennsylvania","4200","3855","1910","518","48","801","2","576","345","318","40","12","40","0","193","1","1","0","17","0","0","1","8","4","1","20","2","6","0","5","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","6","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"1400000US42101002702","Census Tract 27.02, Philadelphia County, Pennsylvania","4268","3980","3545","126","8","211","0","90","288","275","39","21","69","2","126","2","8","1","3","0","0","2","1","1","0","10","0","6","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101002801","Census Tract 28.01, Philadelphia County, Pennsylvania","4364","4007","1727","208","44","1072","1","955","357","336","35","12","23","9","219","11","10","0","6","0","0","7","0","3","1","21","13","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101002802","Census Tract 28.02, Philadelphia County, Pennsylvania","5375","5061","3703","81","56","797","2","422","314","294","34","24","49","0","165","2","1","0","12","0","0","7","0","0","0","20","3","4","0","0","0","0","11","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101002900","Census Tract 29, Philadelphia County, Pennsylvania","4351","4029","3577","86","9","259","0","98","322","294","32","28","70","1","146","0","4","1","3","1","0","3","0","5","0","21","5","4","0","0","3","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101003001","Census Tract 30.01, Philadelphia County, Pennsylvania","4188","3980","1413","586","19","1724","1","237","208","195","30","16","39","0","67","6","11","2","11","1","0","0","10","2","0","13","2","4","0","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101003002","Census Tract 30.02, Philadelphia County, Pennsylvania","3529","3259","1582","1163","27","302","0","185","270","243","52","7","34","0","100","12","6","0","20","0","0","8","0","3","1","25","12","2","0","7","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101003100","Census Tract 31, Philadelphia County, Pennsylvania","5089","4724","1759","2372","20","398","0","175","365","325","81","19","31","2","111","20","20","0","22","0","0","12","0","6","1","32","12","0","0","4","2","0","8","0","2","0","4","0","0","0","0","0","0","0","0","0","8","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101003200","Census Tract 32, Philadelphia County, Pennsylvania","4511","4256","1054","2782","21","173","1","225","255","221","68","2","45","0","55","27","5","0","12","0","0","4","0","3","0","33","16","0","0","8","1","0","2","3","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101003300","Census Tract 33, Philadelphia County, Pennsylvania","6307","5951","1707","3500","48","450","2","244","356","324","98","24","17","4","95","36","18","0","25","1","0","5","0","1","0","26","16","3","0","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101003600","Census Tract 36, Philadelphia County, Pennsylvania","6571","6260","1239","3383","15","1411","8","204","311","282","107","18","19","0","53","40","5","3","28","1","0","1","2","5","0","27","8","2","4","3","0","0","3","0","0","0","0","0","7","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101003701","Census Tract 37.01, Philadelphia County, Pennsylvania","6106","5777","1278","3227","25","955","5","287","329","290","76","16","47","2","65","45","13","0","20","0","0","1","1","4","0","31","11","8","0","7","1","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0","8","1","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101003702","Census Tract 37.02, Philadelphia County, Pennsylvania","3678","3483","1060","1417","13","836","0","157","195","181","52","17","21","0","49","10","7","0","14","2","0","0","0","8","1","14","1","1","0","9","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101003800","Census Tract 38, Philadelphia County, Pennsylvania","3820","3670","3278","72","0","260","1","59","150","126","21","13","24","1","55","5","3","0","3","0","0","0","0","1","0","19","2","2","0","0","1","0","6","1","4","0","0","0","2","0","1","0","0","0","0","0","5","1","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101003901","Census Tract 39.01, Philadelphia County, Pennsylvania","6219","5856","3989","490","18","1084","0","275","363","327","75","29","48","8","133","4","5","0","11","0","0","4","7","3","0","35","15","1","0","2","3","0","4","0","7","1","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
